month,zone,genomes
2017-10-01,South East,2
2017-10-01,South South,8
2017-11-01,South East,1
2017-11-01,South South,5
2017-12-01,North Central,1
2017-12-01,South South,2
2018-01-01,South South,1
2018-01-01,South West,4
2018-02-01,South East,4
2018-02-01,South South,2
2018-03-01,South South,3
2018-06-01,South West,1
2018-08-01,South South,2
2019-01-01,South South,2
2019-02-01,South South,1
2019-03-01,South South,2
2019-04-01,South South,3
2019-04-01,South West,1
2019-05-01,South South,1
2019-05-01,South West,1
2019-06-01,South South,1
2019-07-01,South East,1
2019-10-01,South West,1
2019-11-01,South South,1
2019-12-01,South East,1
2019-12-01,South South,1
2022-01-01,North East,1
2022-08-01,South South,2
2022-09-01,North Central,6
2022-09-01,North West,1
2022-09-01,South East,13
2022-09-01,South South,9
2022-09-01,South West,13
2022-10-01,North Central,3
2022-10-01,North East,1
2022-10-01,North West,3
2022-10-01,South East,8
2022-10-01,South South,13
2022-10-01,South West,2
2022-11-01,North Central,1
2022-11-01,North West,1
2022-11-01,South South,1
2022-12-01,North East,1
2022-12-01,South East,2
2022-12-01,South South,2
2023-01-01,North Central,2
2023-01-01,North East,2
2023-01-01,South East,2
2023-01-01,South South,1
2023-02-01,South South,2
2023-03-01,North Central,1
2023-03-01,South East,2
2023-03-01,South South,4
2023-04-01,South East,1
2023-05-01,North Central,2
2023-05-01,South South,1
2023-09-01,South East,1
2024-08-01,South East,1
2024-08-01,South South,4
2024-08-01,South West,2
2024-09-01,North Central,5
2024-09-01,North East,1
2024-09-01,South South,5
2024-09-01,South West,6
2024-10-01,North Central,5
2024-10-01,North East,1
2024-10-01,South East,1
2024-10-01,South South,5
2024-10-01,South West,6
2024-11-01,North Central,1
2024-11-01,North East,2
2024-11-01,South East,2
2024-11-01,South South,1
2024-11-01,South West,4
2024-12-01,North Central,2
2024-12-01,North West,1
2024-12-01,South South,2
2024-12-01,South West,5
2025-01-01,North Central,2
2025-01-01,North West,5
2025-01-01,South East,1
2025-01-01,South South,10
2025-01-01,South West,1
2025-02-01,North Central,2
2025-02-01,North West,3
2025-02-01,South East,2
2025-02-01,South South,7
2025-03-01,North Central,4
2025-03-01,North East,1
2025-03-01,North West,1
2025-03-01,South South,4
2025-04-01,North Central,2
2025-04-01,South South,3
2025-05-01,South South,4
2025-06-01,North Central,1
2025-06-01,North West,2
2025-06-01,South South,1
2025-08-01,South South,1
2025-08-01,South West,5
2025-09-01,North West,1
2025-09-01,South West,3
2025-10-01,South East,1
