wave,zone,state,suspected,confirmed,pct_of_wave_suspected,pct_of_wave_confirmed,pct_positive
Wave 1 2017-2020,South South,RIVERS,91.0,47.0,21.98,24.48,51.6
Wave 1 2017-2020,South South,BAYELSA,69.0,37.0,16.67,19.27,53.6
Wave 1 2017-2020,South West,LAGOS,57.0,24.0,13.77,12.5,42.1
Wave 1 2017-2020,South South,DELTA,31.0,20.0,7.49,10.42,64.5
Wave 1 2017-2020,South South,CROSS RIVER,40.0,13.0,9.66,6.77,32.5
Wave 1 2017-2020,South East,IMO,10.0,8.0,2.42,4.17,80.0
Wave 1 2017-2020,South South,AKWA IBOM,21.0,7.0,5.07,3.65,33.3
Wave 1 2017-2020,South South,EDO,10.0,6.0,2.42,3.12,60.0
Wave 1 2017-2020,South West,OYO,11.0,6.0,2.66,3.12,54.5
Wave 1 2017-2020,North Central,FCT,13.0,5.0,3.14,2.6,38.5
Wave 1 2017-2020,South East,ENUGU,5.0,4.0,1.21,2.08,80.0
Wave 1 2017-2020,South East,ABIA,8.0,3.0,1.93,1.56,37.5
Wave 1 2017-2020,North Central,PLATEAU,4.0,3.0,0.97,1.56,75.0
Wave 1 2017-2020,South East,ANAMBRA,3.0,2.0,0.72,1.04,66.7
Wave 1 2017-2020,North Central,BENUE,2.0,2.0,0.48,1.04,100.0
Wave 1 2017-2020,South West,EKITI,7.0,2.0,1.69,1.04,28.6
Wave 1 2017-2020,North Central,NASARAWA,3.0,2.0,0.72,1.04,66.7
Wave 1 2017-2020,South East,EBONYI,2.0,1.0,0.48,0.52,50.0
Wave 1 2017-2020,North East,ADAMAWA,4.0,0.0,0.97,0.0,0.0
Wave 1 2017-2020,North East,BAUCHI,2.0,0.0,0.48,0.0,0.0
Wave 1 2017-2020,North East,BORNO,1.0,0.0,0.24,0.0,0.0
Wave 1 2017-2020,North East,GOMBE,0.0,0.0,0.0,0.0,
Wave 1 2017-2020,North West,JIGAWA,0.0,0.0,0.0,0.0,
Wave 1 2017-2020,North West,KADUNA,2.0,0.0,0.48,0.0,0.0
Wave 1 2017-2020,North West,KANO,1.0,0.0,0.24,0.0,0.0
Wave 1 2017-2020,North West,KATSINA,4.0,0.0,0.97,0.0,0.0
Wave 1 2017-2020,North West,KEBBI,1.0,0.0,0.24,0.0,0.0
Wave 1 2017-2020,North Central,KOGI,1.0,0.0,0.24,0.0,0.0
Wave 1 2017-2020,North Central,KWARA,2.0,0.0,0.48,0.0,0.0
Wave 1 2017-2020,North Central,NIGER,6.0,0.0,1.45,0.0,0.0
Wave 1 2017-2020,South West,OGUN,0.0,0.0,0.0,0.0,
Wave 1 2017-2020,South West,ONDO,2.0,0.0,0.48,0.0,0.0
Wave 1 2017-2020,South West,OSUN,0.0,0.0,0.0,0.0,
Wave 1 2017-2020,North East,TARABA,0.0,0.0,0.0,0.0,
Wave 1 2017-2020,North East,YOBE,0.0,0.0,0.0,0.0,
Wave 1 2017-2020,North West,ZAMFARA,1.0,0.0,0.24,0.0,0.0
Wave 2 2021-2023,South West,LAGOS,435.0,221.0,19.59,24.72,50.8
Wave 2 2021-2023,South East,ABIA,119.0,64.0,5.36,7.16,53.8
Wave 2 2021-2023,South West,OGUN,111.0,58.0,5.0,6.49,52.3
Wave 2 2021-2023,South South,BAYELSA,148.0,53.0,6.67,5.93,35.8
Wave 2 2021-2023,South East,IMO,140.0,50.0,6.31,5.59,35.7
Wave 2 2021-2023,South South,RIVERS,74.0,46.0,3.33,5.15,62.2
Wave 2 2021-2023,South South,DELTA,94.0,43.0,4.23,4.81,45.7
Wave 2 2021-2023,South West,ONDO,124.0,42.0,5.59,4.7,33.9
Wave 2 2021-2023,South South,EDO,55.0,35.0,2.48,3.91,63.6
Wave 2 2021-2023,North Central,FCT,68.0,30.0,3.06,3.36,44.1
Wave 2 2021-2023,South East,ANAMBRA,41.0,25.0,1.85,2.8,61.0
Wave 2 2021-2023,North Central,KWARA,50.0,21.0,2.25,2.35,42.0
Wave 2 2021-2023,North Central,NASARAWA,49.0,18.0,2.21,2.01,36.7
Wave 2 2021-2023,North West,KADUNA,74.0,17.0,3.33,1.9,23.0
Wave 2 2021-2023,North East,ADAMAWA,56.0,16.0,2.52,1.79,28.6
Wave 2 2021-2023,South South,AKWA IBOM,26.0,16.0,1.17,1.79,61.5
