wave,zone,confirmed,pct_of_wave_confirmed
Wave 1 2017-2020,South South,130,67.7
Wave 1 2017-2020,South East,18,9.4
Wave 1 2017-2020,South West,32,16.7
Wave 1 2017-2020,North Central,12,6.2
Wave 1 2017-2020,North West,0,0.0
Wave 1 2017-2020,North East,0,0.0
Wave 2 2021-2023,South South,207,23.2
Wave 2 2021-2023,South East,160,17.9
Wave 2 2021-2023,South West,340,38.0
Wave 2 2021-2023,North Central,105,11.7
Wave 2 2021-2023,North West,38,4.3
Wave 2 2021-2023,North East,44,4.9
Wave 3 2024-2025,South South,129,40.4
Wave 3 2024-2025,South East,55,17.2
Wave 3 2024-2025,South West,11,3.4
Wave 3 2024-2025,North Central,70,21.9
Wave 3 2024-2025,North West,39,12.2
Wave 3 2024-2025,North East,15,4.7
