age_band,wave,confirmed,pct_of_wave_confirmed
0-10,Wave 1 2017-2020,13,6.8
11-20,Wave 1 2017-2020,17,8.9
21-30,Wave 1 2017-2020,64,33.3
31-40,Wave 1 2017-2020,69,35.9
41-50,Wave 1 2017-2020,28,14.6
>50,Wave 1 2017-2020,1,0.5
0-10,Wave 2 2021-2023,147,16.4
11-20,Wave 2 2021-2023,135,15.1
21-30,Wave 2 2021-2023,221,24.7
31-40,Wave 2 2021-2023,239,26.7
41-50,Wave 2 2021-2023,111,12.4
>50,Wave 2 2021-2023,41,4.6
0-10,Wave 3 2024-2025,72,24.2
11-20,Wave 3 2024-2025,42,14.1
21-30,Wave 3 2024-2025,84,28.2
31-40,Wave 3 2024-2025,43,14.4
41-50,Wave 3 2024-2025,41,13.8
>50,Wave 3 2024-2025,16,5.4
