age_group,sex,status,n
0-4,FEMALE,suspected_not_confirmed,207
0-4,FEMALE,confirmed,18
0-4,MALE,suspected_not_confirmed,272
0-4,MALE,confirmed,25
5-9,FEMALE,suspected_not_confirmed,86
5-9,FEMALE,confirmed,15
5-9,MALE,suspected_not_confirmed,96
5-9,MALE,confirmed,9
10-14,FEMALE,suspected_not_confirmed,71
10-14,FEMALE,confirmed,9
10-14,MALE,suspected_not_confirmed,114
10-14,MALE,confirmed,10
15-19,FEMALE,suspected_not_confirmed,38
15-19,FEMALE,confirmed,7
15-19,MALE,suspected_not_confirmed,89
15-19,MALE,confirmed,10
20-29,FEMALE,suspected_not_confirmed,84
20-29,FEMALE,confirmed,29
20-29,MALE,suspected_not_confirmed,85
20-29,MALE,confirmed,39
30-39,FEMALE,suspected_not_confirmed,62
30-39,FEMALE,confirmed,17
30-39,MALE,suspected_not_confirmed,70
30-39,MALE,confirmed,30
40-49,FEMALE,suspected_not_confirmed,49
40-49,FEMALE,confirmed,7
40-49,MALE,suspected_not_confirmed,69
40-49,MALE,confirmed,39
50-59,FEMALE,suspected_not_confirmed,25
50-59,FEMALE,confirmed,6
50-59,MALE,suspected_not_confirmed,20
50-59,MALE,confirmed,11
60+,FEMALE,suspected_not_confirmed,14
60+,FEMALE,confirmed,1
60+,MALE,suspected_not_confirmed,26
60+,MALE,confirmed,1
