state,2017,2018,2019,2020,2021,2022,2023
Lagos,4,1,15,4,6,188,27
Rivers,25,14,7,1,5,37,4
Bayelsa,19,11,7,0,6,45,2
Abia,1,2,0,0,0,58,6
Delta,3,6,10,1,9,31,3
Imo,5,2,1,0,0,45,5
Ogun,0,0,0,0,1,40,17
Ondo,0,0,0,0,0,40,2
Edo,4,1,1,0,4,27,4
FCT,5,0,0,0,1,25,4
Anambra,0,1,1,0,0,25,0
Cross River,9,3,1,0,1,12,1
Kwara,0,0,0,0,0,21,0
Plateau,0,2,0,1,0,16,0
Akwa Ibom,6,0,1,0,0,12,4
Nasarawa,1,1,0,0,0,17,1
Adamawa,0,0,0,0,0,16,0
Oyo,1,3,2,0,0,10,1
Kaduna,0,0,0,0,0,15,2
Ebonyi,0,0,0,1,0,12,1
Benue,2,0,0,0,0,10,0
Borno,0,0,0,0,0,11,2
Enugu,1,2,1,0,0,4,4
Katsina,0,0,0,0,0,8,1
Taraba,0,0,0,0,0,7,0
Kano,0,0,0,0,0,7,0
Gombe,0,0,0,0,0,6,0
Kogi,0,0,0,0,0,5,2
Osun,0,0,0,0,0,5,1
Ekiti,2,0,0,0,0,1,1
Niger,0,0,0,0,1,1,1
Kebbi,0,0,0,0,0,2,1
Bauchi,0,0,0,0,0,1,0
Zamfara,0,0,0,0,0,1,0
Yobe,0,0,0,0,0,1,0
Jigawa,0,0,0,0,0,0,1
