wave,source,lineage,genomes
Wave 1 2017-2020,Public repository,A,42
Wave 1 2017-2020,Public repository,A.1,9
Wave 1 2017-2020,Public repository,A.2,3
Wave 1 2017-2020,Public repository,A.3,5
Wave 2 2021-2023,Public repository,A,1
Wave 2 2021-2023,Public repository,A.2,8
Wave 2 2021-2023,Public repository,A.2.2,19
Wave 2 2021-2023,Public repository,A.2.3,55
Wave 2 2021-2023,Public repository,A.2.4,1
Wave 2 2021-2023,Public repository,A.2.5,16
Wave 2 2021-2023,Public repository,A.3,8
Wave 2 2021-2023,Public repository,B.1,3
Wave 2 2021-2023,Public repository,unassigned,5
Wave 3 2024-2025,Public repository,A.2.2,5
Wave 3 2024-2025,Public repository,unassigned,4
Wave 2 2021-2023,This study,A.2,1
Wave 2 2021-2023,This study,A.2.2,1
Wave 2 2021-2023,This study,A.2.3,5
Wave 2 2021-2023,This study,A.3,2
Wave 2 2021-2023,This study,unassigned,2
Wave 3 2024-2025,This study,A.2.2,111
Wave 3 2024-2025,This study,A.2.3,11
Wave 3 2024-2025,This study,unassigned,10
