state,G1,G1_stem,G1_mono,G2,G2_stem,G2_mono,CIV,CIV_stem,CIV_mono
STATE_44000000,2024.6265079997945,2023.8240149997944,True,2024.6570369997944,2023.6765889997944,True,2024.9202614747944,2018.7999214747945,True
STATE_45000000,2024.4945045897946,2023.9093215897947,True,2024.5545245897947,2023.7860025897946,True,2025.0927999497947,2018.7047199497947,True
STATE_46000000,2024.5957989997946,2023.7748339997945,True,2024.5720463997945,2023.7072103997946,True,2024.8325072197945,2018.6690372197945,True
STATE_47000000,2024.6850968397946,2023.9752858397947,True,2024.4650553397946,2023.9468193397945,True,2025.1923262397945,2018.8685762397945,True
STATE_48000000,2024.5571678597946,2024.0504738597945,True,2024.7788418597945,2023.9713208597946,True,2025.0040584497945,2018.6819184497945,True
STATE_49000000,2024.5223758897946,2023.8664648897945,True,2024.8003278897945,2023.7617978897945,True,2025.0707956567944,2018.8078156567944,True
STATE_50000000,2024.4446685297944,2023.7551355297944,True,2024.4990571297944,2023.7379031297944,True,2024.9565124497944,2018.6666624497946,True
STATE_51000000,2024.5962460997946,2023.8233210997946,True,2024.7265251997947,2023.7981701997946,True,2024.8460284697946,2018.7334684697946,True
STATE_52000000,2024.6012782197945,2023.8746582197946,True,2024.6220060197945,2023.8502290197946,True,2024.5036301897946,2018.7672201897944,True
STATE_53000000,2024.6187180797947,2024.0219360797946,True,2024.7381210797946,2023.7363510797945,True,2025.1320070797947,2018.6994070797946,True
STATE_54000000,2024.4874753597946,2023.8066763597947,True,2024.6072883597947,2023.5475483597947,True,2024.8384368597947,2018.9241868597946,True
STATE_55000000,2024.3778395797947,2023.8689705797947,True,2024.4330895797946,2023.7316595797947,True,2025.0221432297947,2019.0009032297946,True
STATE_56000000,2024.3976999997947,2023.8364449997946,True,2024.6037516997947,2023.7401206997947,True,2024.5586551997947,2018.6998951997946,True
STATE_57000000,2024.5165389997946,2023.8554929997947,True,2024.6285029997946,2023.7229809997946,True,2024.7986684997945,2018.7405484997946,True
STATE_58000000,2024.6370186597944,2023.9030946597945,True,2024.6200387597944,2023.8426347597945,True,2025.0653247597945,2018.8715347597945,True
