time	velocity	number_of_branches
2015.81721124829	287.994168049364	2.16
2015.91744028097	364.930386015542	3.84
2016.01766931365	420.300690730309	6.04
2016.11789834633	417.760168237333	8.28
2016.21812737901	422.250876107689	10.68
2016.31835641169	453.817789560766	13.43
2016.41858544437	460.116393472925	15.47
2016.51881447705	445.888247065154	17.85
2016.61904350973	431.992659140909	19.82
2016.71927254241	415.390785913297	21.08
2016.8195015751	389.898211485462	23.1
2016.91973060778	360.02417667837	26.76
2017.01995964046	353.636552972627	31.13
2017.12018867314	333.194817473673	35.51
2017.22041770582	371.354567554608	40.9
2017.3206467385	450.605448042748	48.17
2017.42087577118	517.433616958304	52.87
2017.52110480386	534.795450577493	57.52
2017.62133383654	548.086822019897	63.73
2017.72156286922	545.638558076499	69.56
2017.8217919019	544.33800151316	70.97
2017.92202093458	546.470610032125	72.56
2018.02224996726	538.396046522636	73.16
2018.12247899994	552.25127052713	73.91
2018.22270803262	545.43852490707	71.68
2018.3229370653	508.728339749795	60.11
2018.42316609798	471.517881966644	52.7
2018.52339513066	422.404074854018	48.51
2018.62362416334	327.334722997939	42.22
2018.72385319602	301.827151011633	35.47
2018.82408222871	291.831437719526	34.93
2018.92431126139	273.522960526248	34.37
2019.02454029407	252.157076515953	33.29
2019.12476932675	197.440982346309	31.38
2019.22499835943	208.648989355027	31.95
2019.32522739211	240.325775178679	32.97
2019.42545642479	250.704104374895	33.57
2019.52568545747	250.346813412514	32.73
2019.62591449015	248.250241831825	29.35
2019.72614352283	263.947721139598	25.96
2019.82637255551	296.951911831167	21.74
2019.92660158819	302.071354344428	19.55
2020.02683062087	283.704169587002	18.29
2020.12705965355	264.857727990693	16.87
2020.22728868623	225.780266456984	16.29
2020.32751771891	143.726929560751	14.92
2020.42774675159	109.543534522614	14.04
2020.52797578427	102.897823556559	12.64
2020.62820481695	118.271087037919	12.82
2020.72843384963	135.986584084572	13.72
2020.82866288232	181.103460699495	15.5
2020.928891915	291.566928421156	19.32
2021.02912094768	359.693525904091	24.68
2021.12934998036	395.108431510278	31.1
2021.22957901304	405.393576759985	37.47
2021.32980804572	473.72332966969	43.7
2021.4300370784	488.456329056474	50.14
2021.53026611108	468.27390802922	58.68
2021.63049514376	458.622949559679	69.23
2021.73072417644	461.251296157538	80.75
2021.83095320912	472.959015853376	93.64
2021.9311822418	482.232286526989	104.92
2022.03141127448	506.34376364338	121.46
2022.13164030716	573.03316259414	141.84
2022.23186933984	646.850453516092	166.1
2022.33209837252	633.21392664279	177.9
2022.4323274052	623.615843337825	183.08
2022.53255643788	603.043118166842	183.77
2022.63278547056	598.048690118323	184.23
2022.73301450324	603.803230621938	181.19
2022.83324353593	603.278314347497	175.33
2022.93347256861	611.546938671229	170.48
2023.03370160129	609.723263880907	159.7
2023.13393063397	592.408829066018	145.86
2023.23415966665	494.483149408577	105.21
2023.33438869933	413.878535902375	56.82
2023.43461773201	385.893850393887	55.83
2023.53484676469	388.953663881506	50.97
2023.63507579737	407.74731506464	57.64
2023.73530483005	439.446437496092	59.26
2023.83553386273	464.182754642319	74.56
2023.93576289541	482.204900186416	92.57
2024.03599192809	508.016769486387	117.97
2024.13622096077	529.514691303937	148.1
2024.23644999345	553.904902411597	173.66
2024.33667902613	563.599229114735	191.49
2024.43690805881	583.636538838876	198.47
2024.53713709149	584.847127557223	201.1
2024.63736612417	594.234229709463	206.46
2024.73759515685	619.553233560437	206.58
2024.83782418954	617.08684925974	197.95
2024.93805322222	605.617435774414	186.94
2025.0382822549	594.62150429259	172.83
2025.13851128758	582.837445474615	157.35
2025.23874032026	540.464158514152	131.09
2025.33896935294	538.666853050817	100.65
2025.43919838562	526.64613090732	85.55
2025.5394274183	493.450762506507	70.12
2025.63965645098	527.353620253427	43.07
2025.73988548366	312.420129233907	24.17
