time	velocity	number_of_branches
2015.81721124829	197.734274380718	2.16
2015.91744028097	242.691194034833	3.84
2016.01766931365	248.479951003926	6.04
2016.11789834633	200.515964984942	8.28
2016.21812737901	188.420743507305	10.68
2016.31835641169	184.044664013873	13.43
2016.41858544437	182.63053134226	15.47
2016.51881447705	183.250858876022	17.85
2016.61904350973	178.089068950107	19.82
2016.71927254241	172.139597031193	21.08
2016.8195015751	165.337333226586	23.1
2016.91973060778	157.599027487438	26.76
2017.01995964046	160.237238631578	31.13
2017.12018867314	164.774557829219	35.51
2017.22041770582	177.137295068119	40.9
2017.3206467385	199.883453372884	48.17
2017.42087577118	214.643767221312	52.87
2017.52110480386	240.008635992346	57.52
2017.62133383654	247.849348295711	63.73
2017.72156286922	248.794674797497	69.56
2017.8217919019	258.271607819399	70.97
2017.92202093458	270.191972623649	72.56
2018.02224996726	279.622917332902	73.16
2018.12247899994	290.027494123254	73.91
2018.22270803262	296.808358327987	71.68
2018.3229370653	283.142369857705	60.11
2018.42316609798	259.308726234065	52.7
2018.52339513066	219.586169721199	48.51
2018.62362416334	194.995291461741	42.22
2018.72385319602	173.679695652	35.47
2018.82408222871	154.686802207833	34.93
2018.92431126139	143.118907072495	34.37
2019.02454029407	137.324636230043	33.29
2019.12476932675	129.991136801281	31.38
2019.22499835943	127.695368180358	31.95
2019.32522739211	135.494792750567	32.97
2019.42545642479	131.417695401859	33.57
2019.52568545747	127.904152870818	32.73
2019.62591449015	126.185128650335	29.35
2019.72614352283	126.781228634892	25.96
2019.82637255551	124.872669513254	21.74
2019.92660158819	115.514028296163	19.55
2020.02683062087	106.466578332152	18.29
2020.12705965355	99.6798985960997	16.87
2020.22728868623	92.5499610169081	16.29
2020.32751771891	86.8192081836068	14.92
2020.42774675159	85.5893239026018	14.04
2020.52797578427	86.4334490075514	12.64
2020.62820481695	91.1874890738176	12.82
2020.72843384963	96.0103410444704	13.72
2020.82866288232	104.40404292995	15.5
2020.928891915	119.736597727887	19.32
2021.02912094768	143.707157672213	24.68
2021.12934998036	165.001477874694	31.1
2021.22957901304	181.976051147774	37.47
2021.32980804572	203.027145946202	43.7
2021.4300370784	231.068846023872	50.14
2021.53026611108	245.496112043348	58.68
2021.63049514376	242.944589831687	69.23
2021.73072417644	248.276379566642	80.75
2021.83095320912	259.230628590019	93.64
2021.9311822418	273.919186857643	104.92
2022.03141127448	295.47374932339	121.46
2022.13164030716	328.857745783743	141.84
2022.23186933984	356.948919840165	166.1
2022.33209837252	328.026134036431	177.9
2022.4323274052	330.063539105978	183.08
2022.53255643788	330.501287858965	183.77
2022.63278547056	335.683056193765	184.23
2022.73301450324	340.822280828811	181.19
2022.83324353593	348.537735714925	175.33
2022.93347256861	354.351050428339	170.48
2023.03370160129	355.888688244381	159.7
2023.13393063397	338.15182190575	145.86
2023.23415966665	266.18965026513	105.21
2023.33438869933	233.764540150295	56.82
2023.43461773201	215.151506356103	55.83
2023.53484676469	210.963770211177	50.97
2023.63507579737	221.038132551141	57.64
2023.73530483005	237.174017534299	59.26
2023.83553386273	252.716929575723	74.56
2023.93576289541	266.659049342247	92.57
2024.03599192809	285.517704643537	117.97
2024.13622096077	304.130629536703	148.1
2024.23644999345	315.926515906282	173.66
2024.33667902613	324.194553011842	191.49
2024.43690805881	330.940675966447	198.47
2024.53713709149	336.954862259821	201.1
2024.63736612417	336.169038557266	206.46
2024.73759515685	335.538473698692	206.58
2024.83782418954	337.470846720672	197.95
2024.93805322222	335.370719234438	186.94
2025.0382822549	335.684663529013	172.83
2025.13851128758	323.191187036433	157.35
2025.23874032026	314.957996784939	131.09
2025.33896935294	305.174860313649	100.65
2025.43919838562	297.789389471471	85.55
2025.5394274183	281.627744685167	70.12
2025.63965645098	270.33197795697	43.07
2025.73988548366	234.780505041028	24.17
