time	velocity	number_of_branches
2015.81721124829	175.643358586357	2
2015.91744028097	231.13652845042	4
2016.01766931365	272.020680183157	6
2016.11789834633	336.061359373739	8
2016.21812737901	371.462757419816	10
2016.31835641169	394.501830363171	14
2016.41858544437	387.340654604494	16
2016.51881447705	402.19647469605	18
2016.61904350973	387.517807828421	20
2016.71927254241	369.598084118575	22
2016.8195015751	358.6493258658	24
2016.91973060778	328.302815886405	27
2017.01995964046	323.870727714196	31
2017.12018867314	314.130172399989	36
2017.22041770582	350.190745597429	41
2017.3206467385	390.704518605301	48
2017.42087577118	422.485882411771	53
2017.52110480386	472.381910938789	58
2017.62133383654	474.742724303277	64
2017.72156286922	485.430994222711	69
2017.8217919019	486.227854549322	71
2017.92202093458	484.278276236367	73
2018.02224996726	471.908467189938	73
2018.12247899994	490.571791881682	74
2018.22270803262	492.066134797984	72
2018.3229370653	457.24300648113	60
2018.42316609798	423.882121975932	53
2018.52339513066	376.050571768658	48
2018.62362416334	297.232601326324	42.5
2018.72385319602	284.437249761498	35
2018.82408222871	271.205212661842	35
2018.92431126139	249.104102875254	34
2019.02454029407	231.15522463908	33.5
2019.12476932675	178.628132744765	32
2019.22499835943	176.646672081868	32
2019.32522739211	190.583006310228	33
2019.42545642479	191.718065060518	33.5
2019.52568545747	192.704390993131	33
2019.62591449015	179.210300630012	29
2019.72614352283	187.043124841956	26
2019.82637255551	214.859468144952	22
2019.92660158819	210.950184658419	20
2020.02683062087	191.478657803917	18
2020.12705965355	176.235908404546	17
2020.22728868623	136.359305924634	16
2020.32751771891	107.958656624422	15
2020.42774675159	98.0047247257893	13
2020.52797578427	94.2032180142582	12
2020.62820481695	113.754125039102	13.5
2020.72843384963	125.21571697586	14
2020.82866288232	162.904975153231	16
2020.928891915	262.754236928646	19
2021.02912094768	322.589815843883	25
2021.12934998036	360.961490664127	31
2021.22957901304	391.074310992372	38
2021.32980804572	432.890556202311	44
2021.4300370784	446.719854174738	49.5
2021.53026611108	432.510466901309	58
2021.63049514376	426.035669065702	69
2021.73072417644	427.63334678121	82
2021.83095320912	452.88059597317	93.5
2021.9311822418	463.442338207849	105
2022.03141127448	492.516550831228	122
2022.13164030716	562.25955621307	142.5
2022.23186933984	633.559469102667	166
2022.33209837252	624.924486696105	177
2022.4323274052	612.169603944973	183
2022.53255643788	588.397872678843	184
2022.63278547056	580.976960931248	184.5
2022.73301450324	588.610397423221	182
2022.83324353593	585.710350160972	176
2022.93347256861	596.60497082253	171
2023.03370160129	592.838521034283	160
2023.13393063397	572.824711889916	146
2023.23415966665	466.900307704734	105
2023.33438869933	387.531318113909	57
2023.43461773201	352.841343183133	55.5
2023.53484676469	351.305598567644	51
2023.63507579737	368.965696513097	57
2023.73530483005	407.138776063412	58.5
2023.83553386273	429.468800843934	74
2023.93576289541	442.838310170096	92
2024.03599192809	472.763259752368	118.5
2024.13622096077	488.168456464777	148
2024.23644999345	524.566680258333	174
2024.33667902613	545.773766263062	191.5
2024.43690805881	561.335865600226	199
2024.53713709149	561.870196972358	201
2024.63736612417	562.715752416203	207
2024.73759515685	598.616842449515	207
2024.83782418954	592.412795359281	198
2024.93805322222	585.589577149279	187
2025.0382822549	573.431118321702	173
2025.13851128758	562.451320146627	157
2025.23874032026	513.84844446527	131
2025.33896935294	500.601252363862	101
2025.43919838562	479.699572543651	86
2025.5394274183	438.61154434502	70
2025.63965645098	447.722727324997	43
2025.73988548366	304.451594092617	24
