time	velocity	number_of_branches
2015.81721124829	150.397049434688	2
2015.91744028097	169.271175723533	4
2016.01766931365	181.771861503852	6
2016.11789834633	163.211543734522	8
2016.21812737901	160.645741921882	10
2016.31835641169	170.9579989992	14
2016.41858544437	170.13503527155	16
2016.51881447705	175.011829502392	18
2016.61904350973	172.581255083743	20
2016.71927254241	168.728988374673	22
2016.8195015751	163.883379242345	24
2016.91973060778	154.655225698472	27
2017.01995964046	157.943364476078	31
2017.12018867314	162.43346312358	36
2017.22041770582	177.731341212626	41
2017.3206467385	199.534609661882	48
2017.42087577118	214.299318516988	53
2017.52110480386	238.673384521353	58
2017.62133383654	247.607128974835	64
2017.72156286922	247.44982600597	69
2017.8217919019	258.980809800513	71
2017.92202093458	267.18435502492	73
2018.02224996726	277.889156791668	73
2018.12247899994	288.867350013973	74
2018.22270803262	291.322381183306	72
2018.3229370653	281.991169226191	60
2018.42316609798	256.403076438289	53
2018.52339513066	217.261165552488	48
2018.62362416334	194.173263795787	42.5
2018.72385319602	170.180080281208	35
2018.82408222871	153.254190289824	35
2018.92431126139	142.183242321983	34
2019.02454029407	138.79565317195	33.5
2019.12476932675	129.757071034891	32
2019.22499835943	126.942767641098	32
2019.32522739211	133.771371925123	33
2019.42545642479	129.074715678907	33.5
2019.52568545747	125.848205124979	33
2019.62591449015	123.549198101971	29
2019.72614352283	125.206913614593	26
2019.82637255551	120.005384119103	22
2019.92660158819	110.758962220141	20
2020.02683062087	103.085415496854	18
2020.12705965355	95.1856909215415	17
2020.22728868623	86.7268415671261	16
2020.32751771891	81.7309110805819	15
2020.42774675159	82.2830821831104	13
2020.52797578427	80.2018990696919	12
2020.62820481695	89.1001760667039	13.5
2020.72843384963	93.9913308045473	14
2020.82866288232	103.364793255425	16
2020.928891915	118.058194238527	19
2021.02912094768	143.065969260553	25
2021.12934998036	162.671366781893	31
2021.22957901304	183.777092615144	38
2021.32980804572	198.213181358307	44
2021.4300370784	226.05316210092	49.5
2021.53026611108	244.826031740874	58
2021.63049514376	241.253060100592	69
2021.73072417644	245.813647837929	82
2021.83095320912	256.911158078812	93.5
2021.9311822418	274.545717397452	105
2022.03141127448	293.507522579614	122
2022.13164030716	330.881791934146	142.5
2022.23186933984	359.903968992592	166
2022.33209837252	327.658755656794	177
2022.4323274052	329.976399885474	183
2022.53255643788	331.552409145765	184
2022.63278547056	335.786575655547	184.5
2022.73301450324	341.890059571284	182
2022.83324353593	350.225600200954	176
2022.93347256861	355.856589036938	171
2023.03370160129	356.234996321122	160
2023.13393063397	341.324888303964	146
2023.23415966665	264.241272903833	105
2023.33438869933	233.811990230892	57
2023.43461773201	212.004160678362	55.5
2023.53484676469	210.654343404085	51
2023.63507579737	222.540733555231	57
2023.73530483005	240.483385185526	58.5
2023.83553386273	253.318745283319	74
2023.93576289541	266.355978336551	92
2024.03599192809	284.511034219583	118.5
2024.13622096077	301.015024017159	148
2024.23644999345	313.210497247243	174
2024.33667902613	322.17596311084	191.5
2024.43690805881	329.997368711134	199
2024.53713709149	337.464061573231	201
2024.63736612417	336.085799911994	207
2024.73759515685	334.102246741766	207
2024.83782418954	336.898287777303	198
2024.93805322222	333.792342251284	187
2025.0382822549	334.569844299447	173
2025.13851128758	322.539836949353	157
2025.23874032026	314.665737677245	131
2025.33896935294	304.730538707805	101
2025.43919838562	297.08658880582	86
2025.5394274183	280.874903441254	70
2025.63965645098	267.802188507727	43
2025.73988548366	233.468256638289	24
