"tree","wave","velocity","diffusion","nBranches"
1,"Wave 1 (2016-2020)",153.742372351343,8481.87398107668,128
2,"Wave 1 (2016-2020)",160.312534220842,8116.2196092155,130
3,"Wave 1 (2016-2020)",188.01679274285,9674.65418441336,130
4,"Wave 1 (2016-2020)",182.544385252591,8807.49160842816,132
5,"Wave 1 (2016-2020)",166.278273403598,8756.20739773058,130
6,"Wave 1 (2016-2020)",160.937129048533,9720.21518599849,130
7,"Wave 1 (2016-2020)",152.304964017643,8099.75615525221,132
8,"Wave 1 (2016-2020)",155.917090124722,8125.26804194171,130
9,"Wave 1 (2016-2020)",157.399051062651,7698.59164277473,132
10,"Wave 1 (2016-2020)",172.088183301455,8043.90212326784,128
11,"Wave 1 (2016-2020)",164.988348027399,9000.28405720547,132
12,"Wave 1 (2016-2020)",160.942750002852,8578.58546355945,132
13,"Wave 1 (2016-2020)",166.813720776418,8827.55220591327,134
14,"Wave 1 (2016-2020)",162.466763349553,8298.61269710603,132
15,"Wave 1 (2016-2020)",161.360054449647,7895.8634428813,132
16,"Wave 1 (2016-2020)",156.644973391652,8457.12544939144,132
17,"Wave 1 (2016-2020)",167.823018072825,9159.67688094403,130
18,"Wave 1 (2016-2020)",152.746971193898,8967.99439874799,130
19,"Wave 1 (2016-2020)",160.140159960584,7703.87251337818,134
20,"Wave 1 (2016-2020)",168.755136370429,9372.52383239602,130
21,"Wave 1 (2016-2020)",171.003815369823,9752.80516632097,130
22,"Wave 1 (2016-2020)",180.640972292055,10648.3740688102,130
23,"Wave 1 (2016-2020)",166.584466737953,9805.47081892852,132
24,"Wave 1 (2016-2020)",166.725643266264,9615.52897386215,132
25,"Wave 1 (2016-2020)",175.430792996964,9882.96508201243,132
26,"Wave 1 (2016-2020)",160.274106611226,8167.50254370149,132
27,"Wave 1 (2016-2020)",158.310212283165,8412.04906822312,130
28,"Wave 1 (2016-2020)",143.253346629816,7333.01786805534,130
29,"Wave 1 (2016-2020)",150.616921361489,8071.21379429411,128
