panel,group,n,median,p95,mean,hpd_lo,hpd_hi,singleton_pct
cluster size,whole epidemic,396668,2.0,6.0,2.9388960037109118,2.0,6.0,79.06508870743014
cluster size,Wave 1,96878,3.0,4.0,2.9148826358925657,2.0,4.0,70.89640793936425
cluster size,Wave 2,201753,2.0,6.0,2.7241726269250024,2.0,6.0,73.97279536406583
cluster size,Wave 3,98006,2.0,6.0,3.40373038385405,2.0,6.0,87.54210637372918
cluster persistence,whole epidemic,396668,21.013999938964844,224.1529998779297,59.60101826385705,0.0,224.1529998779297,79.06508870743014
cluster persistence,Wave 1,96878,23.551000595092773,104.07099914550781,49.10516787610449,0.14399999380111694,104.07099914550781,70.89640793936425
cluster persistence,Wave 2,201753,16.96500015258789,231.1580047607422,50.87399523471389,0.0,231.1580047607422,73.97279536406583
cluster persistence,Wave 3,98006,83.05699920654297,224.1529998779297,87.8270076088615,0.0,224.1529998779297,87.54210637372918
weighted lineage dispersal velocity,whole epidemic,100,260.48505170510157,275.344023940922,261.9829205128979,244.71556303500552,279.7999106025736,
weighted lineage dispersal velocity,Wave 1,100,164.77058030056224,181.0900479528243,164.44793457904518,143.4973472171952,186.0516292121049,
weighted lineage dispersal velocity,Wave 2,100,273.75112382356787,289.8071675884899,273.23709869883396,249.20913101652195,291.1875125930488,
weighted lineage dispersal velocity,Wave 3,100,318.3002874335549,340.1624150697515,318.29534222076944,289.3714027306169,345.13553877419827,
mean branch dispersal velocity,whole epidemic,100,585.8546351653599,739.0604764715736,598.8800228296019,475.73435840238375,747.3946098676022,
mean branch dispersal velocity,Wave 1,100,419.51235687754286,808.7905960451662,460.6872860847791,269.81099487054104,821.1605760823477,
mean branch dispersal velocity,Wave 2,100,588.1204728333988,700.4853733397276,599.1087535295858,480.2251411722664,730.7655211102416,
mean branch dispersal velocity,Wave 3,100,598.6951470882227,812.9779929375068,622.1589226941348,452.87792051768713,858.8644440542723,
