tree,wave,weighted,mean_branch,nBranches
1,whole epidemic,252.37683363581928,480.4274282016583,566
1,Wave 1,154.02181888769633,306.15183856506115,128
1,Wave 2,261.73046440160095,486.44951986480766,254
1,Wave 3,311.24318545736134,527.6072513809081,217
2,whole epidemic,258.9338302067524,538.9250429742747,566
2,Wave 1,160.59290670628545,269.81099487054104,130
2,Wave 2,277.88024475218805,609.3178515078991,247
2,Wave 3,307.93726463815494,569.1249078104421,220
3,whole epidemic,272.60529955617966,578.4706086439433,566
3,Wave 1,188.3659897755009,422.3011402699981,130
3,Wave 2,280.7521287628902,640.9098220976089,241
3,Wave 3,318.6017670637877,559.92363220908,223
4,whole epidemic,275.38622937307446,585.7583542220818,566
4,Wave 1,182.8744500372013,420.08717875378994,132
4,Wave 2,280.16969248228065,636.1030420465099,236
4,Wave 3,333.28034814451695,577.6232234006743,225
5,whole epidemic,263.38531407818886,626.3240961815926,566
5,Wave 1,166.5393364021905,363.51832174942564,130
5,Wave 2,277.42822152976623,665.3860957785236,247
5,Wave 3,314.3480343846382,677.6869789604478,220
6,whole epidemic,256.88060790048615,526.176697003207,566
6,Wave 1,161.22323227977387,288.5523051508817,130
6,Wave 2,271.61006408097893,597.213445731312,247
6,Wave 3,306.02667591732734,536.0282305441314,220
7,whole epidemic,258.8522824872896,585.9509161086379,566
7,Wave 1,152.5906831362187,374.40441828139546,132
7,Wave 2,271.00333154376625,641.8634644710069,244
7,Wave 3,315.9276813198582,594.6591760021282,221
8,whole epidemic,259.52220740554264,550.7669398607002,566
8,Wave 1,156.25648811871994,290.8300455656728,130
8,Wave 2,278.25315060790393,642.5405515506677,251
8,Wave 3,314.6636474740179,550.2675510096078,218
9,whole epidemic,257.03152648940465,561.5514488839627,566
9,Wave 1,157.70451048261154,461.82357318115197,132
9,Wave 2,270.55548716371044,597.3876874865117,242
9,Wave 3,310.62085209943655,530.6892045593714,222
10,whole epidemic,274.44739650753803,680.6677950647988,566
10,Wave 1,172.36256389126638,419.9505869639879,128
10,Wave 2,281.3943618128423,657.6267439476463,240
10,Wave 3,334.74928108390003,791.7792105737054,224
11,whole epidemic,254.46097661004652,550.7135959211093,566
11,Wave 1,165.3293447953856,434.73345182848516,132
11,Wave 2,265.89030727188594,523.5898299138614,248
11,Wave 3,299.24331526983553,592.4524155164858,219
12,whole epidemic,261.6467593283911,658.3935108007685,566
12,Wave 1,161.18786839598835,470.82731476702907,132
12,Wave 2,274.98203705901125,652.5237581738195,246
12,Wave 3,320.3302668829602,709.3816745084124,220
13,whole epidemic,247.21300696541238,575.1025353669287,566
13,Wave 1,167.08194650629386,419.0741267910978,134
13,Wave 2,251.96839330498716,608.9654235067758,247
13,Wave 3,300.1575716709239,560.952530007389,219
14,whole epidemic,252.19756825811803,555.2906441260308,566
14,Wave 1,162.78744724251268,464.6251055843108,132
14,Wave 2,266.2528285593593,618.2133922655491,250
14,Wave 3,295.4970760321672,472.9793586615402,218
15,whole epidemic,259.0219339762627,612.994783673298,566
15,Wave 1,161.68494324002944,362.7865725335242,132
15,Wave 2,278.0199162212428,673.4782358706071,244
15,Wave 3,303.96169214018386,631.4024561754103,221
16,whole epidemic,262.4120488882053,810.9809982579598,566
16,Wave 1,156.93955468183898,883.8980579769445,132
16,Wave 2,277.7245789668127,839.385813752778,246
16,Wave 3,320.97247901006756,675.8770939506768,220
17,whole epidemic,275.34180260238765,603.2435212494123,566
