index,seqName,clade,outbreakLineage,lineage,outbreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,VSP191_MPXV_Nigeria_Abia_2022-12-30,IIb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,VSP189_MPXV_Nigeria_Abia_2022-01-01,IIb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRM288_MPXV_Nigeria_Akwa-Ibom_2022-09-28,IIb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,VSP199_MPXV_Nigeria_Akwa-Ibom_2022-01-01,IIb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,KJ642617|Nigeria|1971,IIb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,KJ642615|Nigeria|1978,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,hmpxv|6-NigeriaTravel|USA|2025-03,IIb,sh2017/A.2.2,A.2.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,OP535322|Edo|Nigeria|2017-10,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,OP535323|Bayelsa|Nigeria|2017-10,IIb,sh2017/A.3,A.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,OP535324|Imo|Nigeria|2018-02,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
