seqName,clade,outbreakLineage,lineage,outbreak
UNTH-0046,IIb,sh2017/A.2.2,A.2.2,sh2017
UNTH-0050,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-006,IIb,sh2017/A.2.2,A.2.2,sh2017
MPX-22-1794|,IIb,sh2017/A.3,A.3,sh2017
MPX-23-061|Kaduna|Kaduna-south|,IIb,sh2017/A.2.3,A.2.3,sh2017
MPX-23-090|Imo|Onu-east|,IIb,sh2017/A.3,A.3,sh2017
MPOX-24-704_S14_L001,IIb,sh2017/A.2.3,A.2.3,sh2017
MPX-23-050|Akwa-Ibom|Abak|,IIb,sh2017/A.2.3,A.2.3,sh2017
NRL_CPHL_25,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL_CPHL_32A|MPX|Rivers|2025-02-24,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL_CPHL_33A|MPX|Ebonyi|2025-02-24,IIb,sh2017/A.2.3,A.2.3,sh2017
NRL_CPHL_20A|MPX|Rivers|2025-01-21,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL_CPHL_49A|MPX|Rivers|2025-04-14,IIb,sh2017/A.2.2,A.2.2,sh2017
MPX-23-001|FCT|Bwari|2023-01-03,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-1029|Imo|Nigeria|2023-09-16,IIb,,,
CPHL-344|MPX|OYO|2025-08-13,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-345|MPX|OGUN|2025-08-14,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-346|MPX|OGUN|2025-08-14,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-365|MPX|ONDO|2025-08-15,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-379|MPX|LAGOS|2025-08-25,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-412|MPX|LAGOS|2025-09-10,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-421|MPX|LAGOS|2025-09-22,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-454|MPX|LAGOS|2025-09-30,IIb,sh2017/A.2.2,A.2.2,sh2017
UNTH-0052|MPX|ENUGU|2025-10-15,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-1035|Edo|Nigeria|204-10-22,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-1036|Edo|Nigeria|2024-10-28,IIb,sh2017/A.2.3,A.2.3,sh2017
CPHL-639|MPXV|Lagos|2024-12-09,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-1121|Anambra|Nigeria|2024-11-06,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL_CPHL_13|MPX|Rivers|2024-12-13,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL_CPHL_17|MPX|Rivers|2024-12-28,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL_CPHL_20|MPX|Rivers|2025-01-21,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL_CPHL_23A|MPX|Rivers|2025-02-03,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL_CPHL_24A|MPX|Rivers|2025-02-04,IIb,sh2017/A.2.2,A.2.2,sh2017
