index	seqName	clade	outbreakLineage	lineage	outbreak																																																										
0	PP_002XKR1.2|MPXV|Sierra_Leone|2025-01-10	IIb	sh2017/G.1	G.1	sh2017																																																										
1	PP_002XKUV.2|MPXV|Sierra_Leone|2025-04-25	IIb	sh2017/G.1	G.1	sh2017																																																										
2	PP_002XKZK.2|MPXV|Sierra_Leone|2025-04-29	IIb	sh2017/G.1	G.1	sh2017																																																										
3	PP_002XL1F.2|MPXV|Sierra_Leone|2025-04-29	IIb	sh2017/G.1	G.1	sh2017																																																										
4	PP_002XL3B.2|MPXV|Sierra_Leone|2025-05-01	IIb	sh2017/G.1	G.1	sh2017																																																										
5	PP_002XL65.2|MPXV|Sierra_Leone|2025-04-30	IIb	sh2017/G.1	G.1	sh2017																																																										
6	PP_002XL73.2|MPXV|Sierra_Leone|2025-05-01	IIb	sh2017/G.1	G.1	sh2017																																																										
7	PP_002XL9Z.2|MPXV|Sierra_Leone|2025-05-02	IIb	sh2017/G.1	G.1	sh2017																																																										
8	PP_002XR60.3|MPXV|Sierra_Leone|2025-01-10	IIb	sh2017/G.1	G.1	sh2017																																																										
9	PP_002XR7Y.2|MPXV|Sierra_Leone|2025-01-11	IIb	sh2017/G.1	G.1	sh2017																																																										
10	PP_002Y1RH.2|MPXV|Sierra_Leone|2025-03-04	IIb	sh2017/G.1	G.1	sh2017																																																										
11	PP_002Y1V9.1|MPXV|Sierra_Leone|2025-03-12	IIb	sh2017/G.1	G.1	sh2017																																																										
12	PP_002Y1W7.1|MPXV|Sierra_Leone|2025-03-12	IIb	sh2017/G.1	G.1	sh2017																																																										
13	PP_002Y2MQ.1|MPXV|Sierra_Leone|2025-05-07	IIb	sh2017/G.1	G.1	sh2017																																																										
14	PP_002YRH9.2|MPXV|Sierra_Leone|2025-06-01	IIb	sh2017/G.1	G.1	sh2017																																																										
15	PP_002YRM1.3|MPXV|Sierra_Leone|2025-06-02	IIb	sh2017/G.1	G.1	sh2017																																																										
16	PP_002YRNZ.3|MPXV|Sierra_Leone|2025-06-02	IIb	sh2017/G.1	G.1	sh2017																																																										
17	PP_0033Z1Q.1|MPXV|Sierra_Leone|2025-06-24	IIb	sh2017/G.1	G.1	sh2017																																																										
18	PP_0033ZD0.1|MPXV|Sierra_Leone|2025-07-12	IIb	sh2017/G.1	G.1	sh2017																																																										
19	PP_00340R6.3|MPXV|Sierra_Leone|2025-07-15	IIb	sh2017/G.1	G.1	sh2017																																																										
20	PP_00340WW.3|MPXV|Sierra_Leone|2025-07-16	IIb	sh2017/G.1	G.1	sh2017																																																										
21	PP_0034277.2|MPXV|Sierra_Leone|2025-02-05	IIb	sh2017/G.1	G.1	sh2017																																																										
